deaths,"Total number of people affected by disasters per 100,000",country,year
0,34.20671203,Algeria,2020
33,62.67824506,Angola,2020
6,57.74054008,Benin,2020
0,0,Botswana,2020
13,14060.20147,Burkina Faso,2020
5,351.2132635,Burundi,2020
0,0,Cameroon,2020
0,0,Cape Verde,2020
0,0,Central African Republic,2020
3,224.8527763,Chad,2020
0,0,Comoros,2020
24,70.72865834,Cote d'Ivoire,2020
83,258.4885784,Democratic Republic of Congo,2020
8,11133.5807,Djibouti,2020
40,19.93464505,Egypt,2020
0,0,Equatorial Guinea,2020
0,0,Eritrea,2020
0,0,Eswatini,2020
34,1069.777027,Ethiopia,2020
0,0,Gabon,2020
0,0,Gambia,2020
0,0,Ghana,2020
0,377.2312849,Guinea,2020
0,0,Guinea-Bissau,2020
0,0,Ivory Coast,2020
285,1507.597919,Kenya,2020
0,35756.76438,Lesotho,2020
0,0,Liberia,2020
0,0,Libya,2020
44,5092.069743,Madagascar,2020
1,11.76165861,Malawi,2020
0,33578.86396,Mali,2020
9,13531.35498,Mauritania,2020
0,0,Mauritius,2020
0,0,Morocco,2020
24,9130.252067,Mozambique,2020
0,39.35588583,Namibia,2020
83,18105.03533,Niger,2020
189,93.97758229,Nigeria,2020
20,1196.065597,Republic of the Congo,2020
111,173.3681104,Rwanda,2020
0,0,Sahrawi Arab Democratic Republic,2020
0,0,Sao Tome and Principe,2020
7,100.322923,Senegal,2020
0,0,Seychelles,2020
0,0,Sierra Leone,2020
41,8248.926791,Somalia,2020
13,0.691298358,South Africa,2020
0,9308.783516,South Sudan,2020
155,1995.501909,Sudan,2020
43,108.9509625,Tanzania,2020
11,688.5108199,Togo,2020
6,338.4490471,Tunisia,2020
35,306.5083842,Uganda,2020
3,3839.064889,Zambia,2020
0,0,Zimbabwe,2020
